Nomor,Operasi,Volume,Jumlah client worker pool,Jumlah server worker pool,Waktu total per client,Throughput per client,Jumlah worker client yang sukses dan gagal,Jumlah worker server yang sukses dan gagal
1,upload,10MB,1,1,0.197,53337325.438,"1 sukses, 0 gagal",1 server worker (manual input)
2,upload,10MB,5,1,0.137,15311581.153,"5 sukses, 0 gagal",1 server worker (manual input)
3,upload,10MB,50,1,0.145,1441977.215,"50 sukses, 0 gagal",1 server worker (manual input)
1,upload,50MB,1,1,1.122,46734223.128,"1 sukses, 0 gagal",1 server worker (manual input)
2,upload,50MB,5,1,0.943,11115991.008,"5 sukses, 0 gagal",1 server worker (manual input)
1,upload,100MB,1,1,3.224,32524781.663,"1 sukses, 0 gagal",1 server worker (manual input)
2,upload,100MB,5,1,2.79,7516736.502,"5 sukses, 0 gagal",1 server worker (manual input)
1,upload,10MB,1,5,0.231,45409127.067,"1 sukses, 0 gagal",5 server worker (manual input)
2,upload,10MB,5,5,0.118,17730769.741,"5 sukses, 0 gagal",5 server worker (manual input)
3,upload,10MB,50,5,0.082,2568128.71,"50 sukses, 0 gagal",5 server worker (manual input)
1,upload,50MB,1,5,1.243,42191147.005,"1 sukses, 0 gagal",5 server worker (manual input)
2,upload,50MB,5,5,0.851,12323663.249,"5 sukses, 0 gagal",5 server worker (manual input)
1,upload,100MB,1,5,3.511,29863815.59,"1 sukses, 0 gagal",5 server worker (manual input)
2,upload,100MB,5,5,2.546,8237970.365,"5 sukses, 0 gagal",5 server worker (manual input)
1,upload,10MB,1,50,0.212,49566735.314,"1 sukses, 0 gagal",50 server worker (manual input)
2,upload,10MB,5,50,0.113,18500750.501,"5 sukses, 0 gagal",50 server worker (manual input)
3,upload,10MB,50,50,0.081,2589552.503,"50 sukses, 0 gagal",50 server worker (manual input)
1,upload,50MB,1,50,1.305,40165696.001,"1 sukses, 0 gagal",50 server worker (manual input)
2,upload,50MB,5,50,0.849,12355708.347,"5 sukses, 0 gagal",50 server worker (manual input)
1,upload,100MB,1,50,3.551,29525710.601,"1 sukses, 0 gagal",50 server worker (manual input)
2,upload,100MB,5,50,2.506,8368171.987,"5 sukses, 0 gagal",50 server worker (manual input)

1,download,100MB,1,1,1.271,82481997.549,1,0,
2,download,100MB,5,1,1.05,19977091.139,5,0,
3,download,100MB,50,1,0.988,2121558.115,50,0,
1,download,10MB,1,1,0.187,56096816.509,1,0,
2,download,10MB,5,1,0.111,18927620.525,5,0,
3,download,10MB,50,1,0.108,1933622.37,50,0,
1,download,50MB,1,1,0.774,67761310.628,1,0,
2,download,50MB,5,1,0.511,20538904.285,5,0,
3,download,50MB,50,1,0.487,2154723.646,50,0,
1,download,10MB,1,5,0.142,73864980.528,1,0,
2,download,10MB,5,5,0.07,30006723.885,5,0,
3,download,10MB,50,5,0.059,3557478.112,50,0,
1,download,50MB,1,5,0.622,84280243.431,1,0,
2,download,50MB,5,5,0.342,30657641.354,5,0,
3,download,50MB,50,5,0.275,3808859.715,50,0,
1,download,100MB,1,5,1.507,69581207.373,1,0,
2,download,100MB,5,5,0.659,31807660.655,5,0,
3,download,100MB,50,5,0.559,3748627.051,50,0,
1,download,10MB,1,50,0.171,61270172.568,1,0,
2,download,10MB,5,50,0.064,33000108.132,5,0,
3,download,10MB,50,50,0.063,3315412.988,50,0,
1,download,50MB,1,50,0.754,69545723.396,1,0,
2,download,50MB,5,50,0.319,32870966.089,5,0,
3,download,50MB,50,50,0.307,3418899.213,50,0,
1,download,100MB,1,50,1.466,71531840.458,1,0,
2,download,100MB,5,50,0.611,34296921.413,5,0,
3,download,100MB,50,50,0.586,3580756.494,50,0,
