2025-05-30 11:55:59,737 - INFO - MainProcess - Main process started. Server listening on 0.0.0.0:8889
2025-05-30 11:55:59,741 - INFO - MainProcess - Submitted 1 worker processes to the pool.
2025-05-30 11:55:59,754 - INFO - ForkProcess-1 - Worker process 13230 started and is ready to accept connections.
2025-05-30 11:56:33,413 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41738)
2025-05-30 11:56:33,854 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41738)
2025-05-30 11:56:34,059 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41744)
2025-05-30 11:56:34,497 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41744)
2025-05-30 11:56:34,497 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41758)
2025-05-30 11:56:34,957 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41758)
2025-05-30 11:56:34,957 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41760)
2025-05-30 11:56:35,394 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41760)
2025-05-30 11:56:35,394 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41768)
2025-05-30 11:56:35,876 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41768)
2025-05-30 11:56:35,877 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41776)
2025-05-30 11:56:36,339 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41776)
2025-05-30 11:56:37,370 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41780)
2025-05-30 11:56:37,841 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41780)
2025-05-30 11:56:37,842 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41786)
2025-05-30 11:56:38,296 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41786)
2025-05-30 11:56:38,296 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41798)
2025-05-30 11:56:38,741 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41798)
2025-05-30 11:56:38,742 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41800)
2025-05-30 11:56:39,210 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41800)
2025-05-30 11:56:39,211 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41804)
2025-05-30 11:56:39,661 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41804)
2025-05-30 11:56:39,661 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41814)
2025-05-30 11:56:40,141 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41814)
2025-05-30 11:56:40,142 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41820)
2025-05-30 11:56:40,652 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41820)
2025-05-30 11:56:40,652 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41836)
2025-05-30 11:56:41,105 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41836)
2025-05-30 11:56:41,106 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41852)
2025-05-30 11:56:41,577 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41852)
2025-05-30 11:56:41,578 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41838)
2025-05-30 11:56:42,025 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41838)
2025-05-30 11:56:42,025 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41868)
2025-05-30 11:56:42,473 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41868)
2025-05-30 11:56:42,474 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41878)
2025-05-30 11:56:42,969 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41878)
2025-05-30 11:56:42,970 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41884)
2025-05-30 11:56:43,426 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41884)
2025-05-30 11:56:43,427 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41894)
2025-05-30 11:56:43,880 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41894)
2025-05-30 11:56:43,880 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41902)
2025-05-30 11:56:44,350 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41902)
2025-05-30 11:56:44,350 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41910)
2025-05-30 11:56:44,785 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41910)
2025-05-30 11:56:44,785 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41914)
2025-05-30 11:56:45,228 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41914)
2025-05-30 11:56:45,228 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41920)
2025-05-30 11:56:45,675 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41920)
2025-05-30 11:56:45,675 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41928)
2025-05-30 11:56:46,087 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41928)
2025-05-30 11:56:46,087 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41930)
2025-05-30 11:56:46,492 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41930)
2025-05-30 11:56:46,492 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41938)
2025-05-30 11:56:46,963 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41938)
2025-05-30 11:56:46,963 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41946)
2025-05-30 11:56:47,443 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41946)
2025-05-30 11:56:47,444 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41958)
2025-05-30 11:56:47,949 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41958)
2025-05-30 11:56:47,949 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41972)
2025-05-30 11:56:48,499 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41972)
2025-05-30 11:56:48,500 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41974)
2025-05-30 11:56:48,978 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41974)
2025-05-30 11:56:48,979 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41988)
2025-05-30 11:56:49,433 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41988)
2025-05-30 11:56:49,433 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 41998)
2025-05-30 11:56:49,891 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 41998)
2025-05-30 11:56:49,892 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42008)
2025-05-30 11:56:50,332 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42008)
2025-05-30 11:56:50,333 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42022)
2025-05-30 11:56:50,812 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42022)
2025-05-30 11:56:50,813 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42038)
2025-05-30 11:56:51,281 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42038)
2025-05-30 11:56:51,281 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42046)
2025-05-30 11:56:51,710 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42046)
2025-05-30 11:56:51,710 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42058)
2025-05-30 11:56:52,192 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42058)
2025-05-30 11:56:52,192 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42072)
2025-05-30 11:56:52,654 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42072)
2025-05-30 11:56:52,654 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42082)
2025-05-30 11:56:53,209 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42082)
2025-05-30 11:56:53,210 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42094)
2025-05-30 11:56:53,669 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42094)
2025-05-30 11:56:53,670 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42112)
2025-05-30 11:56:54,153 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42112)
2025-05-30 11:56:54,153 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42110)
2025-05-30 11:56:54,615 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42110)
2025-05-30 11:56:54,615 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42132)
2025-05-30 11:56:55,089 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42132)
2025-05-30 11:56:55,090 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42138)
2025-05-30 11:56:55,586 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42138)
2025-05-30 11:56:55,587 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42142)
2025-05-30 11:56:56,068 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42142)
2025-05-30 11:56:56,068 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42146)
2025-05-30 11:56:56,505 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42146)
2025-05-30 11:56:56,505 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42152)
2025-05-30 11:56:56,943 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42152)
2025-05-30 11:56:56,943 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42168)
2025-05-30 11:56:57,420 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42168)
2025-05-30 11:56:57,420 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42170)
2025-05-30 11:56:57,921 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42170)
2025-05-30 11:56:57,921 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42172)
2025-05-30 11:56:58,397 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42172)
2025-05-30 11:56:58,397 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42176)
2025-05-30 11:56:58,877 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42176)
2025-05-30 11:56:58,877 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42186)
2025-05-30 11:56:59,332 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42186)
2025-05-30 11:56:59,333 - INFO - ForkProcess-1 - Worker 13230 accepted connection from ('172.16.16.102', 42192)
2025-05-30 11:56:59,819 - INFO - ForkProcess-1 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 42192)
