2025-05-30 11:30:33,692 - INFO - MainThread - Scalable Server listening on 0.0.0.0:8889 with 1 workers
2025-05-30 11:30:38,104 - INFO - Worker_0 - Connection from ('172.16.16.102', 36604) assigned to thread Worker_0
2025-05-30 11:30:38,618 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36604)
2025-05-30 11:30:38,619 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36604)
2025-05-30 11:30:38,830 - INFO - Worker_0 - Connection from ('172.16.16.102', 36606) assigned to thread Worker_0
2025-05-30 11:30:39,359 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36606)
2025-05-30 11:30:39,359 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36606)
2025-05-30 11:30:39,359 - INFO - Worker_0 - Connection from ('172.16.16.102', 36616) assigned to thread Worker_0
2025-05-30 11:30:39,823 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36616)
2025-05-30 11:30:39,823 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36616)
2025-05-30 11:30:39,824 - INFO - Worker_0 - Connection from ('172.16.16.102', 36630) assigned to thread Worker_0
2025-05-30 11:30:40,270 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36630)
2025-05-30 11:30:40,270 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36630)
2025-05-30 11:30:40,271 - INFO - Worker_0 - Connection from ('172.16.16.102', 36634) assigned to thread Worker_0
2025-05-30 11:30:40,733 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36634)
2025-05-30 11:30:40,734 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36634)
2025-05-30 11:30:40,734 - INFO - Worker_0 - Connection from ('172.16.16.102', 36644) assigned to thread Worker_0
2025-05-30 11:30:41,174 - INFO - Worker_0 - OK: Stream-decoded and saved file_10mb.txt from ('172.16.16.102', 36644)
2025-05-30 11:30:41,174 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 36644)
